"0 ";100000;284;100000;262;100000;290;100000;214;100000;245;100000;246;100000;168;100000;214;100000;270;100000;221
"1 ";99716;35;99738;25;99710;28;99786;21;99755;14;99754;40;99832;23;99786;30;99730;27;99779;7
"2 ";99681;4;99713;14;99682;28;99766;21;99741;14;99715;0;99809;7;99756;13;99703;7;99772;10
"3 ";99677;14;99699;7;99654;7;99745;7;99728;17;99715;10;99802;17;99743;6;99697;13;99762;3
"4 ";99663;7;99692;14;99647;7;99738;10;99711;14;99705;7;99786;10;99737;10;99684;6;99759;13
"5 ";99656;17;99678;7;99640;11;99728;10;99697;10;99698;10;99776;7;99727;7;99678;10;99746;6
"6 ";99639;10;99671;17;99630;3;99717;7;99687;7;99688;3;99769;7;99720;3;99668;3;99740;3
"7 ";99629;13;99654;14;99626;10;99710;7;99680;14;99684;14;99762;3;99717;7;99664;7;99737;3
"8 ";99615;3;99641;10;99616;10;99703;7;99666;0;99670;3;99759;7;99710;10;99658;7;99733;10
"9 ";99612;0;99631;20;99606;7;99697;13;99666;17;99667;17;99752;0;99700;14;99651;7;99723;3
"10 ";99612;10;99611;3;99599;13;99683;7;99649;7;99650;3;99752;17;99686;14;99644;7;99720;0
"11 ";99602;7;99608;0;99586;6;99677;3;99643;10;99647;3;99735;16;99673;13;99638;7;99720;3
"12 ";99596;7;99608;0;99580;13;99674;13;99633;6;99644;0;99719;7;99659;7;99631;0;99717;3
"13 ";99589;10;99608;3;99567;13;99661;10;99626;10;99644;13;99712;13;99653;20;99631;3;99713;10
"14 ";99579;13;99605;3;99554;3;99651;13;99617;16;99631;3;99699;13;99633;10;99628;3;99704;3
"15 ";99566;16;99601;26;99551;6;99638;16;99601;6;99628;16;99686;25;99624;13;99624;6;99700;16
"16 ";99550;27;99576;16;99544;16;99622;10;99594;23;99612;16;99661;22;99611;22;99618;6;99684;13
"17 ";99523;14;99559;33;99528;19;99612;25;99572;35;99595;26;99639;51;99589;16;99612;25;99671;16
"18 ";99509;29;99526;28;99509;36;99587;32;99536;25;99570;41;99588;57;99573;13;99587;28;99656;16
"19 ";99480;33;99498;14;99472;14;99555;30;99511;38;99529;28;99530;25;99560;13;99558;31;99640;16
"20 ";99447;37;99484;37;99459;39;99525;17;99473;39;99501;31;99505;37;99548;28;99527;22;99625;9
"21 ";99410;49;99447;26;99420;36;99508;14;99434;27;99469;35;99468;34;99520;21;99505;24;99615;15
"22 ";99361;30;99421;22;99383;29;99494;43;99408;14;99434;52;99435;22;99499;21;99481;21;99600;27
"23 ";99332;33;99399;15;99354;36;99451;36;99394;35;99382;33;99413;16;99478;9;99460;20;99573;32
"24 ";99299;39;99385;43;99318;21;99416;28;99359;24;99349;23;99397;19;99469;18;99440;23;99541;17
"25 ";99260;35;99342;32;99296;28;99387;28;99335;38;99326;33;99378;36;99451;22;99416;27;99524;26
"26 ";99224;46;99310;31;99268;38;99360;47;99297;27;99292;30;99343;26;99429;37;99390;18;99498;29
"27 ";99179;42;99279;38;99230;34;99312;20;99271;30;99263;10;99317;22;99391;16;99372;18;99470;15
"28 ";99136;27;99241;24;99196;44;99292;36;99241;42;99253;26;99294;28;99376;25;99354;30;99455;12
"29 ";99109;30;99216;14;99153;31;99256;56;99199;45;99228;73;99266;47;99351;25;99323;15;99443;12
"30 ";99079;56;99203;29;99122;27;99200;37;99154;42;99154;32;99219;31;99326;31;99308;27;99431;24
"31 ";99023;33;99174;34;99095;26;99163;43;99112;23;99123;38;99188;34;99296;34;99281;27;99408;42
"32 ";98990;27;99140;45;99070;43;99120;38;99089;55;99085;32;99154;53;99262;25;99254;33;99366;36
"33 ";98964;49;99094;62;99027;39;99082;45;99034;31;99052;35;99101;44;99237;19;99221;42;99330;27
"34 ";98915;51;99033;40;98988;35;99037;41;99003;36;99017;43;99056;47;99219;34;99178;37;99303;45
"35 ";98864;45;98993;57;98953;56;98996;58;98967;52;98974;44;99009;40;99184;34;99142;53;99259;27
"36 ";98819;64;98936;39;98897;68;98938;48;98914;48;98930;46;98969;50;99150;48;99089;62;99231;34
"37 ";98755;85;98897;58;98829;53;98891;70;98866;44;98884;45;98920;51;99102;64;99028;45;99198;64
"38 ";98670;54;98839;65;98776;66;98821;50;98822;78;98839;69;98868;31;99038;51;98983;49;99133;42
"39 ";98616;89;98774;71;98710;73;98771;74;98744;63;98770;38;98837;71;98987;42;98934;59;99092;40
"40 ";98527;108;98703;72;98638;62;98697;72;98681;54;98731;74;98766;57;98945;46;98875;77;99052;42
"41 ";98419;71;98631;76;98575;74;98625;62;98627;50;98658;49;98709;73;98899;84;98798;81;99010;66
"42 ";98348;97;98556;74;98501;101;98563;91;98577;81;98609;110;98636;59;98815;86;98717;73;98944;67
"43 ";98251;121;98482;103;98400;89;98472;101;98496;99;98499;86;98577;85;98728;94;98644;59;98877;67
"44 ";98130;109;98378;118;98311;118;98371;85;98396;95;98413;99;98492;75;98635;76;98585;112;98809;88
"45 ";98021;128;98261;137;98193;167;98286;106;98302;111;98314;83;98417;124;98559;89;98473;97;98721;96
"46 ";97893;134;98123;169;98026;124;98180;117;98191;156;98231;125;98293;108;98470;143;98376;119;98625;100
"47 ";97759;175;97955;131;97902;143;98063;137;98034;147;98106;141;98185;136;98327;139;98257;140;98525;130
"48 ";97584;137;97824;231;97758;165;97926;177;97887;152;97965;141;98049;161;98188;136;98117;116;98396;123
"49 ";97447;215;97593;187;97594;156;97749;143;97736;149;97825;182;97887;168;98052;158;98002;150;98273;181
"50 ";97232;200;97406;206;97438;227;97606;209;97587;207;97642;204;97720;157;97894;183;97851;178;98092;193
"51 ";97032;250;97200;232;97211;203;97397;205;97380;243;97439;228;97563;238;97711;172;97673;209;97898;220
"52 ";96782;262;96968;231;97008;235;97192;278;97137;254;97210;245;97325;188;97539;179;97464;261;97678;210
"53 ";96520;288;96737;256;96773;288;96915;248;96883;249;96965;273;97137;208;97360;225;97203;191;97469;233
"54 ";96232;304;96481;268;96484;256;96667;266;96634;336;96692;258;96929;313;97135;283;97012;277;97236;265
"55 ";95928;315;96212;315;96229;348;96401;237;96298;246;96434;298;96616;302;96852;282;96736;340;96971;298
"56 ";95613;318;95897;389;95880;322;96164;289;96052;314;96137;310;96314;330;96570;373;96395;288;96673;298
"57 ";95295;412;95508;381;95559;386;95875;393;95738;315;95826;359;95985;441;96197;298;96108;301;96375;316
"58 ";94883;453;95127;369;95173;378;95482;350;95423;406;95468;422;95543;359;95898;308;95806;285;96059;324
"59 ";94429;440;94758;452;94795;500;95132;452;95017;399;95046;409;95184;435;95590;396;95521;468;95735;372
"60 ";93990;521;94307;537;94295;514;94680;496;94617;412;94637;482;94749;457;95194;501;95054;428;95364;433
"61 ";93469;613;93770;544;93781;492;94184;509;94205;450;94154;500;94292;526;94694;428;94626;446;94930;422
"62 ";92856;583;93226;567;93289;589;93675;613;93755;594;93654;578;93766;564;94266;545;94180;567;94508;521
"63 ";92273;571;92659;780;92700;557;93062;667;93162;678;93076;577;93202;566;93720;554;93613;601;93987;501
"64 ";91702;705;91879;604;92143;701;92395;671;92484;678;92498;677;92636;637;93167;653;93011;612;93486;587
"65 ";90996;806;91274;624;91442;700;91724;752;91806;739;91821;819;91999;615;92513;719;92399;611;92898;662
"66 ";90191;788;90651;703;90743;830;90972;836;91067;753;91002;745;91384;725;91794;740;91788;802;92236;808
"67 ";89403;827;89948;845;89912;885;90136;828;90314;842;90257;880;90660;835;91054;832;90986;830;91428;778
"68 ";88575;917;89103;966;89028;912;89308;971;89472;820;89377;944;89825;904;90222;1004;90156;957;90650;841
"69 ";87659;1020;88136;881;88116;936;88337;1004;88652;1081;88433;895;88921;922;89218;994;89198;985;89809;939
"70 ";86639;1267;87255;1005;87180;1167;87332;1141;87570;1160;87538;1047;87998;970;88224;1047;88214;961;88871;972
"71 ";85372;1132;86250;1252;86012;1103;86192;1215;86411;1197;86491;1122;87028;1045;87177;1256;87253;1111;87899;1105
"72 ";84240;1227;84998;1310;84910;1299;84976;1321;85214;1187;85369;1301;85984;1197;85922;1387;86142;1362;86794;1165
"73 ";83013;1511;83688;1454;83611;1497;83655;1408;84027;1365;84069;1556;84786;1317;84535;1377;84779;1277;85629;1245
"74 ";81501;1635;82234;1688;82114;1690;82247;1552;82662;1517;82512;1542;83470;1438;83158;1592;83502;1532;84384;1333
"75 ";79867;1776;80546;1776;80425;1942;80696;1691;81146;1772;80970;1771;82031;1621;81567;1746;81970;1760;83051;1566
"76 ";78091;2063;78770;2199;78482;1898;79004;1936;79373;1805;79199;1936;80410;1956;79820;1779;80210;1868;81485;1852
"77 ";76028;2171;76571;2103;76584;2221;77068;2200;77568;2068;77263;1980;78454;2047;78041;2014;78342;1832;79633;1981
"78 ";73856;2383;74468;2316;74363;2340;74868;2329;75500;2155;75283;2165;76407;2214;76027;2385;76510;2326;77652;2137
"79 ";71473;2697;72152;2713;72023;2612;72539;2579;73345;2627;73118;2509;74193;2562;73642;2434;74185;2467;75515;2399
"80 ";68776;2824;69439;2818;69411;2946;69960;2866;70718;2943;70608;2863;71632;2793;71208;2638;71717;2725;73117;2530
"81 ";65952;3034;66621;3174;66465;3052;67095;3194;67775;3137;67746;3006;68839;2919;68570;3082;68993;3099;70586;3108
"82 ";62918;3263;63446;3454;63413;3554;63901;3259;64637;3327;64740;3066;65920;3373;65488;3298;65893;3162;67478;2905
"83 ";59655;3586;59992;3857;59860;3804;60642;3758;61311;3802;61674;3736;62546;3538;62189;3887;62731;3046;64574;3668
"84 ";56070;3627;56135;4067;56056;3799;56884;4091;57508;3913;57938;3780;59008;3681;58302;3667;59685;3745;60906;3822
"85 ";52442;4444;52068;4290;52256;4467;52793;3951;53595;4333;54157;4159;55328;4051;54636;3965;55940;4311;57084;4128
"86 ";47998;4261;47777;4289;47789;4256;48842;4509;49262;4228;49998;4025;51277;4621;50671;4441;51628;4412;52956;4129
"87 ";43736;4347;43488;4394;43533;4574;44333;4307;45034;4643;45974;4513;46656;4413;46230;4399;47216;4494;48827;4347
"88 ";39389;4763;39095;4721;38960;4378;40026;4664;40391;4548;41461;4715;42243;4500;41831;4735;42722;4460;44479;4576
"89 ";34626;4596;34373;4544;34582;4730;35361;4073;35843;4765;36746;4551;37743;4780;37096;4442;38262;4669;39903;4688
"90 ";30030;4429;29829;4679;29852;4504;31288;4576;31078;4029;32195;4679;32963;4743;32655;5047;33593;4564;35215;4666
"91 ";25601;4310;25150;4214;25348;4060;26712;4433;27049;4427;27516;4302;28221;4680;27607;4244;29029;4533;30550;4810
"92 ";21291;4065;20937;3934;21288;4022;22279;4047;22622;4159;23214;4124;23541;4219;23363;4485;24496;4120;25740;4298
"93 ";17227;3260;17003;3535;17266;3461;18232;3531;18464;3674;19090;3855;19321;3868;18878;3665;20376;3966;21442;4130
"94 ";13967;3231;13467;3129;13805;2955;14701;3141;14790;3202;15235;3165;15453;3302;15213;3458;16410;3557;17312;3507
"95 ";10736;2652;10338;2668;10850;2780;11560;2762;11587;2919;12069;2938;12152;2951;11755;2958;12852;3239;13805;3138
"96 ";8084;2160;7670;2079;8070;2191;8798;2352;8668;2213;9131;2605;9201;2444;8797;2496;9614;2468;10667;2555
"97 ";5924;1627;5592;1718;5879;1743;6445;1779;6455;1997;6526;1802;6756;1980;6301;1952;7146;2142;8112;2377
"98 ";4297;1421;3874;1287;4137;1413;4666;1547;4458;1244;4724;1501;4776;1272;4349;1426;5004;1561;5734;1800
"99 ";2876;1015;2587;804;2723;847;3120;984;3214;1132;3223;1003;3504;1015;2923;1017;3443;1082;3935;1205
"100 ";1861;675;1783;571;1876;764;2136;815;2082;750;2219;882;2489;966;1906;711;2360;808;2730;1026
"101 ";1186;418;1211;430;1112;434;1321;523;1332;518;1337;535;1523;540;1195;479;1552;569;1704;619
"102 ";767;295;781;297;677;231;798;268;815;339;803;305;983;394;716;331;983;428;1085;432
"103 ";472;226;484;217;446;194;529;214;476;242;498;167;589;219;385;189;555;155;653;274
"104 ";247;99;268;89;252;86;315;156;234;80;330;117;369;209;196;61;400;198;379;165
"105 ";148;61;179;88;166;65;160;79;154;50;214;86;161;44;134;40;202;114;214;39
"106 ";87;87;90;90;102;102;81;81;104;104;127;127;117;117;95;47;88;88;175;175